customer_id,edad,ingresos_mensuales,region,frecuencia_visitas,compró
1,56,3697.72,Norte,2,1
2,69,2825.97,Este,15,0
3,46,784.5,Este,14,0
4,32,1612.61,Oeste,11,0
5,60,3013.53,Este,3,0
6,25,1433.86,Sur,17,1
7,38,2355.06,Sur,12,1
8,56,2619.71,Este,15,1
9,36,1258.46,Este,16,0
10,40,1952.38,Oeste,5,0
11,28,-593.01,Sur,6,0
12,28,1180.49,Sur,19,1
13,41,1797.95,Norte,5,0
14,53,1001.77,,3,0
15,57,3305.93,Norte,1,1
16,41,855.89,Sur,6,0
17,20,1647.96,Oeste,15,0
18,39,2104.59,Este,2,0
19,19,3153.02,Oeste,3,1
20,41,851.31,Este,17,0
21,61,2930.53,Este,12,1
22,47,2008.19,Oeste,18,1
23,55,1214.79,Este,15,0
24,19,2369.68,Norte,12,1
25,38,2159.25,Sur,16,0
26,50,1519.83,Este,8,0
27,29,2055.84,Norte,14,1
28,39,1691.75,Este,17,1
29,61,2090.81,Sur,8,1
30,42,2529.7,Norte,15,0
31,66,3268.81,Sur,14,0
32,44,1009.75,Sur,18,0
33,59,3706.43,Norte,7,0
34,45,438.33,Norte,3,0
35,33,1878.57,Norte,12,0
36,32,,Oeste,3,0
37,64,2224.79,Norte,14,0
38,68,1501.84,Norte,15,0
39,61,1833.5,Norte,14,0
40,69,1605.6,Norte,7,1
41,20,1528.51,Este,17,0
42,54,2679.68,Oeste,12,1
43,68,2285.61,Sur,4,1
44,24,1445.67,Norte,9,0
45,38,2719.68,Este,6,1
46,26,2245.84,Este,16,0
47,56,2650.29,Este,2,0
48,35,2503.7,Sur,8,0
49,21,1336.8,Norte,11,0
50,42,1551.86,Oeste,13,0
51,31,2597.83,Oeste,17,0
52,67,,Este,8,1
53,26,1983.28,Sur,18,1
54,43,2093.86,Sur,18,0
55,19,3022.13,Sur,14,1
56,37,1526.74,Oeste,15,0
57,45,2437.68,Este,6,0
58,64,1838.25,Norte,11,1
59,24,1825.86,Oeste,13,0
60,61,2879.02,Este,1,0
61,25,2660.33,Este,6,0
62,64,2650.81,Norte,9,0
63,52,3044.38,Norte,8,1
64,31,2016.8,Norte,11,0
65,34,2545.56,Sur,19,1
66,53,1751.79,Norte,9,0
67,67,2259.33,Este,17,0
68,57,1895.89,Norte,12,0
69,21,2077.6,Este,14,1
70,19,2476.13,,15,0
71,23,,Sur,16,1
72,59,3673.91,Oeste,1,1
73,21,1195.19,Oeste,10,0
74,46,1028.65,Este,8,1
75,35,2926.49,Oeste,18,1
76,43,2633.33,Este,1,1
77,61,2499.3,Norte,2,0
78,51,2502.68,Norte,1,0
79,27,1990.2,Este,1,0
80,53,1282.2,Norte,9,0
81,31,2060.64,Sur,13,0
82,48,1458.27,Oeste,1,1
83,65,2780.1,Sur,13,0
84,32,1882.35,Oeste,7,0
85,25,1339.6,Norte,2,1
86,31,1742.89,Sur,6,1
87,40,2330.35,Norte,7,0
88,57,1549.02,Oeste,14,1
89,38,1342.22,Este,18,0
90,33,2194.95,Este,15,0
91,62,2195.97,Sur,2,1
92,35,1594.45,Norte,10,0
93,64,1623.17,Norte,12,0
94,41,2185.64,Sur,17,0
95,43,841.53,Este,8,0
