age,income,web_visits,clicked_ad,device_type,time_on_site,past_purchases,converted
24,43767,4,1,desktop,2.06,0,0
44,63513,4,0,tablet,1.74,2,0
37,65772,5,0,desktop,2.41,2,0
19,40009,4,1,desktop,4.05,3,1
29,62123,5,1,tablet,2.53,1,0
51,26972,2,0,desktop,1.66,0,0
10,51960,4,0,mobile,0.73,1,0
30,37986,2,0,mobile,2.56,0,0
47,42884,5,1,mobile,2.62,1,0
26,35858,5,0,desktop,1.66,2,0
28,63304,1,0,desktop,3.08,1,0
34,63308,1,0,mobile,2.7,0,0
49,44631,3,1,mobile,2.57,0,0
28,60633,3,1,mobile,2.82,2,0
30,58919,5,0,desktop,1.29,2,0
30,53073,3,0,mobile,2.74,3,0
57,87372,4,0,mobile,2.47,1,0
56,42386,1,0,desktop,3.61,1,1
45,55214,2,0,mobile,1.92,0,0
38,49264,6,0,desktop,3.15,0,0
42,49423,2,1,mobile,2.49,4,1
49,57391,3,0,tablet,3.46,1,0
25,50584,2,0,mobile,4.98,0,1
46,42093,1,0,mobile,2.81,0,0
22,56863,4,0,desktop,1.93,2,0
28,72734,4,0,mobile,2.68,1,0
44,69141,5,1,mobile,3.0,1,0
20,58045,3,0,desktop,1.98,3,0
33,43969,0,0,desktop,2.25,1,0
26,57796,4,0,mobile,2.14,2,0
32,71269,1,0,mobile,3.98,0,0
7,72867,0,0,desktop,2.56,1,0
17,60395,4,0,desktop,2.97,2,0
28,49534,2,1,mobile,1.45,0,0
44,51958,10,0,tablet,1.22,4,1
33,66580,2,0,mobile,1.24,0,0
35,65295,6,0,tablet,2.72,1,0
41,28634,2,0,mobile,1.7,1,0
26,64879,6,1,desktop,1.63,2,0
37,65669,4,0,mobile,3.09,3,1
26,41692,5,0,desktop,3.48,1,1
17,43525,5,0,desktop,1.84,0,0
31,43642,1,0,mobile,-1.07,3,0
40,44796,3,0,mobile,1.13,1,0
38,33748,3,0,tablet,0.78,1,0
34,59696,4,1,mobile,4.07,1,1
58,43214,4,0,desktop,2.19,0,0
39,53944,3,0,mobile,1.39,0,0
44,47536,3,0,mobile,4.2,0,1
57,58827,5,1,mobile,1.16,1,0
22,39840,5,0,mobile,2.66,0,0
24,58678,1,1,desktop,1.67,1,0
52,60846,3,0,tablet,1.02,2,0
27,67413,5,0,desktop,1.49,0,0
35,84516,3,0,tablet,3.66,0,0
45,23618,3,0,desktop,2.3,0,0
43,59804,2,1,mobile,3.33,4,1
52,44362,3,0,desktop,1.89,1,0
49,26124,2,0,desktop,1.77,2,0
45,67624,2,0,mobile,2.08,0,0
27,74982,2,1,desktop,3.54,0,0
42,49125,1,1,desktop,1.89,3,1
38,58163,3,0,desktop,1.56,0,0
21,54038,1,0,desktop,1.12,2,0
49,61512,3,0,desktop,1.94,3,0
43,68208,1,0,desktop,1.06,3,0
35,60174,6,1,mobile,4.61,1,1
32,60186,0,0,desktop,2.77,0,0
23,73896,4,0,mobile,1.0,0,0
36,52530,1,0,desktop,3.05,1,0
39,68845,3,0,desktop,1.83,1,0
26,42669,2,0,desktop,2.53,1,1
46,79106,0,0,desktop,1.32,3,0
24,66067,4,1,mobile,2.28,2,1
13,48943,4,0,desktop,2.8,3,0
45,23281,3,1,mobile,2.2,1,1
30,54995,5,0,tablet,3.4,3,1
33,37272,2,1,tablet,3.53,1,1
26,59494,2,0,mobile,4.02,0,0
18,76767,4,1,desktop,1.12,1,0
47,57400,2,0,mobile,2.74,3,0
28,52329,4,1,tablet,4.06,2,1
51,60133,2,0,mobile,1.97,3,1
43,59284,7,0,mobile,3.68,0,0
31,19557,3,0,desktop,2.67,0,0
24,58614,4,1,mobile,1.61,3,0
27,64304,2,1,mobile,1.97,3,1
22,51109,5,0,mobile,2.73,3,1
55,69678,4,1,desktop,1.94,0,0
36,53084,2,1,desktop,3.62,0,1
46,66504,7,1,mobile,3.2,2,1
22,89096,0,0,desktop,2.11,1,0
36,53554,2,1,mobile,1.15,2,0
46,25868,3,0,desktop,2.59,2,1
31,49951,3,0,desktop,4.37,2,1
45,29111,5,1,mobile,3.59,0,0
24,64168,2,1,mobile,3.51,1,1
21,74640,3,1,mobile,3.28,1,1
38,65438,2,1,desktop,4.27,1,1
31,59804,3,0,desktop,2.76,0,0
41,45326,1,0,tablet,4.43,0,0
15,78634,8,0,mobile,2.72,2,0
42,66299,1,0,mobile,2.2,3,0
60,59267,5,1,desktop,4.04,2,1
34,58072,3,0,mobile,2.59,1,0
35,56674,1,0,desktop,2.86,3,1
36,61783,2,1,desktop,2.8,1,1
16,45800,3,0,mobile,3.19,0,0
39,77878,1,1,mobile,2.6,2,0
18,57285,5,1,mobile,1.36,1,0
30,64000,2,0,desktop,3.24,1,0
47,48496,6,1,tablet,2.8,2,1
27,60623,3,0,desktop,2.18,1,0
40,20773,2,0,mobile,1.69,6,1
45,38225,3,1,mobile,3.19,0,1
37,54528,4,1,mobile,1.58,2,0
21,35162,5,1,mobile,1.91,0,0
31,91591,9,1,tablet,0.55,2,0
54,29978,3,1,desktop,2.2,2,1
14,60188,1,0,mobile,3.44,3,1
32,79836,1,0,desktop,2.51,0,0
29,62219,6,1,mobile,1.45,2,0
36,50346,1,0,tablet,4.17,1,1
42,46717,3,0,mobile,3.03,2,0
51,65098,2,0,mobile,1.76,2,0
32,42995,0,0,mobile,2.82,1,1
43,53207,1,1,desktop,2.24,0,0
39,65367,1,0,mobile,0.65,2,0
39,50381,5,0,desktop,3.02,1,0
29,56312,2,0,desktop,1.89,1,0
25,50438,4,1,tablet,4.21,1,1
23,40453,3,0,mobile,3.75,0,1
27,72837,4,0,mobile,1.51,2,0
38,75895,6,0,mobile,1.04,4,0
42,50249,2,0,mobile,2.09,1,0
38,51016,3,0,desktop,3.3,0,1
29,52331,2,1,mobile,3.16,1,0
53,63082,3,1,mobile,4.16,1,1
50,41420,2,0,mobile,2.65,1,1
31,53672,4,1,mobile,1.06,3,0
26,58944,1,0,mobile,2.16,0,0
36,64630,1,0,desktop,1.24,0,0
47,13287,2,0,mobile,3.53,1,0
38,61051,5,0,mobile,3.02,2,1
40,60187,7,0,desktop,1.91,1,0
32,70115,2,1,mobile,2.4,2,1
39,47106,3,1,tablet,3.86,0,0
50,47224,4,0,mobile,3.86,1,0
32,73037,4,0,desktop,2.3,3,0
36,31552,1,0,desktop,2.07,1,0
37,79436,2,1,mobile,3.49,0,0
37,93338,0,0,mobile,1.85,0,0
20,62161,1,0,mobile,1.61,1,0
16,67211,6,1,mobile,2.74,2,1
24,32656,3,1,desktop,2.37,1,1
36,44581,3,1,desktop,2.04,1,0
40,70867,1,1,mobile,4.21,0,1
29,60427,5,1,mobile,2.38,0,0
48,52278,4,0,mobile,2.26,2,0
33,58493,7,0,desktop,2.17,2,0
35,62604,5,0,desktop,2.63,1,0
33,50603,1,1,mobile,2.23,2,1
36,54565,4,0,mobile,2.53,1,1
42,54455,5,0,desktop,0.83,2,0
41,39215,1,1,mobile,1.34,0,0
26,59853,3,1,tablet,4.02,1,1
50,82053,6,1,mobile,3.56,1,1
24,80979,0,0,mobile,3.66,1,1
35,32854,4,1,desktop,2.38,1,1
32,63559,3,0,desktop,1.29,2,0
24,65132,3,0,desktop,3.46,0,0
34,48842,4,1,tablet,3.38,2,1
27,40536,4,1,mobile,1.68,3,1
35,35187,7,1,tablet,5.27,0,1
39,48329,3,1,mobile,3.09,1,1
49,60250,4,0,mobile,3.33,0,0
38,52629,6,0,desktop,1.32,3,0
28,45836,1,0,mobile,4.58,2,1
31,36262,3,0,mobile,2.65,1,0
36,60260,3,1,desktop,3.07,4,1
35,70998,6,0,mobile,2.4,2,0
49,41096,5,1,tablet,2.96,0,0
48,61726,5,1,mobile,1.08,2,0
31,26807,3,0,mobile,3.38,0,1
29,45138,4,0,desktop,2.95,0,0
9,65944,2,1,mobile,0.94,1,0
29,38233,6,1,desktop,3.62,0,1
25,45933,2,0,mobile,2.49,0,0
31,76269,8,1,mobile,4.02,0,0
38,44007,0,1,mobile,1.77,2,0
36,42190,2,1,mobile,0.76,3,0
34,63637,4,1,tablet,2.77,1,1
36,84321,3,1,mobile,2.96,1,0
33,51404,2,1,mobile,4.45,0,0
36,66531,3,0,desktop,1.87,2,0
2,75186,4,0,desktop,2.96,2,0
32,59883,3,1,mobile,3.56,1,0
33,50951,1,0,mobile,2.74,0,0
31,41855,3,0,mobile,2.72,0,0
32,33621,6,0,mobile,1.15,0,0
42,71675,2,0,desktop,3.46,0,0
29,57714,2,0,mobile,2.48,0,0
57,74992,1,0,mobile,4.81,2,1
41,69833,7,0,tablet,3.74,0,1
34,45745,6,0,desktop,2.01,1,0
32,37196,2,0,mobile,1.9,1,0
34,61190,5,1,desktop,1.22,1,0
25,45512,5,0,mobile,2.48,2,1
34,60650,2,0,mobile,3.54,0,0
37,44032,2,1,mobile,3.0,1,1
40,42081,1,1,mobile,3.77,0,1
40,52885,2,0,desktop,1.9,0,0
32,69011,7,1,mobile,3.64,1,1
20,59598,3,0,mobile,2.44,0,0
28,72675,3,1,desktop,3.77,2,1
51,36496,5,0,tablet,0.99,3,0
43,39143,2,0,mobile,1.81,1,0
38,53662,1,0,desktop,1.81,2,0
27,87485,3,1,mobile,3.29,4,1
35,65114,3,0,mobile,0.91,0,0
22,39000,3,1,mobile,2.39,2,1
29,53857,3,0,desktop,3.65,0,0
32,58310,3,0,mobile,3.23,1,1
31,46469,2,1,mobile,2.53,2,0
44,64199,2,0,mobile,4.01,0,0
20,52653,0,0,mobile,2.93,1,1
26,50510,4,0,desktop,2.78,1,0
21,73903,2,1,tablet,2.23,0,0
22,29355,3,0,tablet,4.31,1,1
36,40572,3,0,desktop,4.11,1,1
18,42740,0,0,desktop,2.87,1,0
42,42284,4,0,tablet,2.88,1,0
32,44068,3,1,desktop,2.71,2,1
35,62327,3,0,tablet,2.56,3,0
38,71447,2,0,mobile,2.36,0,0
30,68740,4,1,tablet,3.03,1,1
45,39706,4,0,mobile,1.77,1,0
33,53388,4,1,mobile,1.72,1,0
40,61783,3,0,tablet,1.66,3,0
33,58600,4,1,tablet,3.39,1,1
37,74586,1,0,mobile,0.55,0,0
37,44869,7,1,mobile,4.25,4,1
37,57344,3,0,desktop,1.9,0,0
25,49101,4,1,desktop,1.29,0,0
39,58766,4,1,mobile,2.45,1,0
31,38816,2,0,tablet,1.44,1,0
41,41065,2,0,mobile,1.87,0,0
13,44048,7,1,mobile,2.03,3,1
20,46544,1,0,mobile,2.41,1,1
38,78218,0,0,desktop,0.42,2,0
53,72631,4,0,tablet,2.92,2,0
43,51810,2,0,desktop,1.89,1,0
28,57593,5,0,mobile,0.56,1,0
18,31083,2,1,desktop,2.6,1,1
42,52310,6,1,mobile,4.34,1,1
34,57394,0,0,mobile,0.76,0,0
40,72185,2,1,desktop,2.3,1,1
36,59902,4,0,mobile,2.6,1,0
35,61493,3,1,desktop,3.83,0,1
64,59466,2,1,desktop,1.43,1,0
34,59035,4,1,mobile,3.51,0,0
33,34048,0,1,desktop,1.76,1,0
33,48748,3,0,mobile,3.31,1,0
29,76523,3,0,desktop,3.58,0,0
44,67358,2,1,mobile,2.09,1,0
31,62413,8,1,mobile,1.26,2,0
41,56000,3,1,desktop,2.81,1,1
37,64891,2,0,mobile,2.63,1,0
47,40826,4,1,desktop,1.32,0,0
39,31299,2,0,mobile,2.86,0,0
22,49268,2,0,desktop,2.43,0,0
21,63068,1,0,mobile,2.45,0,0
49,56617,2,0,tablet,2.59,1,0
28,70209,1,0,mobile,2.48,0,0
21,60271,4,1,desktop,1.94,1,0
28,55672,5,1,mobile,3.1,1,1
47,74912,1,0,tablet,1.45,0,0
20,71985,2,1,mobile,4.45,1,1
26,53528,2,0,desktop,-0.24,1,0
28,38454,0,0,desktop,3.31,1,0
22,41389,3,0,mobile,3.37,1,1
23,52578,2,1,mobile,2.19,2,1
19,49497,3,0,mobile,1.31,1,0
30,79866,4,0,mobile,2.57,1,0
31,29797,2,0,desktop,1.54,2,1
28,54036,1,0,mobile,2.18,2,0
18,39006,1,1,desktop,1.61,2,0
47,56752,3,0,desktop,3.48,2,1
21,60733,3,0,desktop,2.43,0,0
37,48926,4,0,desktop,3.66,0,0
24,62957,2,1,desktop,2.45,0,0
41,52020,4,0,mobile,0.73,0,0
44,52309,3,0,mobile,2.67,0,0
26,48731,2,0,desktop,3.89,1,1
15,64762,5,0,mobile,2.37,0,0
41,57077,2,0,desktop,1.27,0,0
53,78598,4,1,desktop,2.16,2,1
39,74050,5,1,desktop,1.37,2,0
36,63306,2,0,mobile,3.44,2,1
43,22608,3,0,desktop,1.36,2,0
42,32735,5,0,desktop,1.5,2,0
26,69793,0,0,desktop,2.43,0,0
28,47865,6,0,mobile,3.76,0,1
41,58522,6,0,tablet,1.54,1,0
33,45542,5,1,desktop,2.28,2,1
48,62768,2,1,desktop,2.04,0,0
27,69369,3,1,mobile,2.13,0,0
42,36855,1,1,mobile,0.32,0,0
38,42796,4,1,desktop,1.12,2,0
33,30044,3,0,mobile,1.68,3,0
46,58501,4,1,tablet,2.79,1,0
41,30020,2,1,mobile,1.93,2,1
24,49508,2,0,mobile,0.94,0,0
41,62794,4,0,desktop,2.15,4,1
48,85871,2,1,tablet,2.81,1,1
33,60526,1,0,desktop,4.06,0,0
32,73793,2,0,desktop,2.83,1,0
28,58887,4,1,tablet,1.51,2,0
34,59638,3,0,mobile,2.5,0,0
41,51836,3,0,mobile,2.21,0,0
26,49250,0,0,desktop,1.06,2,0
21,72615,1,0,mobile,2.54,0,0
31,60620,2,0,desktop,3.91,3,1
21,60044,3,1,mobile,3.8,1,1
40,45877,4,1,mobile,-0.22,1,0
30,49824,3,1,mobile,2.33,0,0
17,86012,1,0,tablet,2.06,1,0
31,53987,1,0,desktop,2.23,2,0
33,74892,0,1,desktop,2.59,2,1
39,47196,3,1,mobile,1.17,0,0
33,67023,0,0,tablet,2.22,1,0
53,59346,3,1,desktop,2.24,1,0
29,48944,2,0,desktop,4.29,0,1
34,64728,5,1,tablet,1.21,2,0
33,31848,2,1,desktop,2.58,0,1
32,63619,2,1,mobile,0.68,1,0
36,66803,2,0,tablet,3.83,1,0
40,59096,2,0,desktop,2.1,1,0
48,74663,3,1,mobile,2.7,2,1
19,53978,3,1,mobile,2.17,2,0
29,52762,7,0,mobile,1.11,0,0
30,60325,2,1,desktop,2.73,0,0
44,68015,3,0,mobile,2.8,1,0
31,63547,5,1,desktop,1.55,2,0
16,51600,4,0,desktop,2.61,1,0
35,40071,2,1,desktop,2.35,1,1
34,64952,2,1,mobile,4.08,0,0
36,43156,3,1,mobile,3.41,2,1
24,42725,1,1,tablet,3.31,2,1
52,45180,2,1,mobile,2.73,0,0
31,55865,3,0,mobile,2.58,4,1
33,43055,7,0,desktop,1.95,0,0
25,37964,1,0,mobile,1.55,0,0
25,45117,2,0,desktop,3.49,4,1
22,52250,1,0,mobile,1.37,1,0
31,61814,1,0,tablet,2.4,1,0
25,56009,3,1,mobile,1.25,0,0
55,38793,4,0,mobile,2.2,0,0
16,58429,5,1,tablet,2.02,1,0
23,59841,3,1,mobile,3.11,1,0
30,48175,3,1,mobile,1.31,1,0
41,43056,5,1,desktop,-0.09,5,1
30,43050,1,0,tablet,2.87,0,0
41,47022,1,1,mobile,3.48,0,1
25,88213,4,1,mobile,1.91,1,0
35,41663,3,0,mobile,2.57,1,0
52,58989,1,1,mobile,2.24,1,0
25,44288,1,0,desktop,2.13,0,0
39,47410,5,1,mobile,3.09,2,1
37,44407,1,1,mobile,3.01,2,1
12,67018,2,0,mobile,3.19,2,0
29,60686,3,0,mobile,2.49,0,0
46,53059,3,1,mobile,2.67,1,1
36,62544,5,0,tablet,2.53,1,0
