iter	Logloss
0	0.6133607379
1	0.5569010368
2	0.513467543
3	0.48352803
4	0.4583781357
5	0.4347040006
6	0.4136287068
7	0.4022617222
8	0.3922759233
9	0.3835799032
10	0.3763269541
11	0.369716461
12	0.3637944339
13	0.3594117677
14	0.3561551951
15	0.3518743305
16	0.3477907562
17	0.3458943816
18	0.3430882682
19	0.3407911651
20	0.3380464084
21	0.3358038795
22	0.3335763327
23	0.3321786224
24	0.3306244388
25	0.3294825154
26	0.3283056967
27	0.3275074542
28	0.3266874832
29	0.3259703501
30	0.3252428754
31	0.3244512754
32	0.3236961463
33	0.3227497658
34	0.3216288974
35	0.32058552
36	0.3199066371
37	0.3194218838
38	0.3183685321
39	0.3177944717
40	0.3173273848
41	0.3167033186
42	0.3160577628
43	0.3152557804
44	0.3142920642
45	0.3135395898
46	0.3130106926
47	0.3127589037
48	0.3123255086
49	0.3120380439
50	0.3116833717
51	0.3112339594
52	0.3107808712
53	0.310221432
54	0.3096259471
55	0.3091494346
56	0.3088634796
57	0.3084515351
58	0.3080595184
59	0.3074714397
60	0.3069519228
61	0.3067346213
62	0.3062959909
63	0.3056922728
64	0.3052858922
65	0.3052461221
66	0.3047586299
67	0.3041149625
68	0.3034650684
69	0.302999943
70	0.3024159752
71	0.3019273112
72	0.3014842288
73	0.3008155011
74	0.3002486278
75	0.3001726143
76	0.2994183418
77	0.2990498013
78	0.2985437798
79	0.2978900813
80	0.2973542317
81	0.2969412201
82	0.2964349389
83	0.2957867889
84	0.2952043972
85	0.2948721974
86	0.2943194482
87	0.2939604884
88	0.293578293
89	0.2931832066
90	0.2927401478
91	0.2923540962
92	0.2918944428
93	0.2910918392
94	0.29053457
95	0.2900570045
96	0.2892968268
97	0.2887996439
98	0.2881828795
99	0.2877343831
100	0.2870917951
101	0.2865943297
102	0.2861253178
103	0.2855588917
104	0.2851769949
105	0.2847874626
106	0.2843072218
107	0.2837883157
108	0.2833236878
109	0.282962964
110	0.2826015342
111	0.2820941145
112	0.2815672937
113	0.281125853
114	0.280629189
115	0.2802361998
116	0.2797544076
117	0.2792763554
118	0.2787153555
119	0.2783202979
120	0.2779013195
121	0.2774669628
122	0.2768313819
123	0.2763864181
124	0.275936264
125	0.2754482579
126	0.275134753
127	0.2747467764
128	0.2743923435
129	0.2738746565
130	0.2733262192
131	0.2729040845
132	0.2725646392
133	0.272146705
134	0.2715797263
135	0.2711644707
136	0.2708924199
137	0.2704320769
138	0.2701422631
139	0.2696790917
140	0.2693483416
141	0.2689228993
142	0.2686488842
143	0.2681690899
144	0.2677893076
145	0.2673277391
146	0.2667597604
147	0.2664452114
148	0.2659448131
149	0.265500603
150	0.2652640426
151	0.2648541294
152	0.2646040821
153	0.2641767708
154	0.263763729
155	0.2635373258
156	0.2630246014
157	0.26226673
158	0.261943909
159	0.2615637001
160	0.2610446807
161	0.2606410328
162	0.2603596243
163	0.2598965701
164	0.2595354701
165	0.259177616
166	0.2587778425
167	0.2583672285
168	0.2579261804
169	0.2576826982
170	0.2572673021
171	0.2568685133
172	0.256480902
173	0.2561694724
174	0.2556440939
175	0.2552950082
176	0.2547187246
177	0.2543885287
178	0.2538701655
179	0.2534470227
180	0.2531975142
181	0.252978421
182	0.2526164076
183	0.2523178428
184	0.2519808694
185	0.2516310362
186	0.2513332202
187	0.2510265596
188	0.2505604117
189	0.2502177896
190	0.2499626302
191	0.2495985357
192	0.2490787742
193	0.2487726784
194	0.2484449217
195	0.2479939978
196	0.2476652253
197	0.2472722781
198	0.2469581445
199	0.2465391732
