iter	Passed	Remaining
0	436	86765
1	441	43710
2	444	29161
3	446	21870
4	450	17561
5	454	14699
6	456	12578
7	457	10989
8	460	9765
9	461	8773
10	464	7978
11	465	7298
12	467	6724
13	473	6290
14	474	5857
15	476	5478
16	477	5145
17	489	4945
18	490	4675
19	493	4439
20	496	4230
21	498	4035
22	500	3851
23	502	3682
24	503	3527
25	505	3385
26	507	3253
27	511	3139
28	512	3024
29	514	2915
30	516	2814
31	517	2717
32	519	2627
33	520	2541
34	522	2461
35	523	2384
36	525	2313
37	526	2246
38	528	2181
39	529	2119
40	531	2061
41	533	2006
42	535	1953
43	537	1904
44	538	1855
45	540	1808
46	542	1764
47	543	1720
48	544	1679
49	546	1639
50	548	1601
51	549	1564
52	551	1528
53	553	1495
54	554	1461
55	556	1430
56	557	1399
57	559	1369
58	561	1341
59	562	1313
60	564	1286
61	566	1259
62	567	1234
63	569	1209
64	570	1184
65	571	1160
66	572	1137
67	574	1114
68	575	1092
69	577	1072
70	579	1052
71	580	1031
72	581	1012
73	583	993
74	584	974
75	586	956
76	587	938
77	588	920
78	589	903
79	591	886
80	593	871
81	595	856
82	596	841
83	597	825
84	599	810
85	600	796
86	602	782
87	604	769
88	605	755
89	607	741
90	608	728
91	609	715
92	610	702
93	612	690
94	613	678
95	614	666
96	616	654
97	618	643
98	619	632
99	621	621
100	622	610
101	624	599
102	625	589
103	627	578
104	628	569
105	630	559
106	631	549
107	632	539
108	634	529
109	636	521
110	638	511
111	639	502
112	641	493
113	642	484
114	644	476
115	645	467
116	647	459
117	648	450
118	649	442
119	650	433
120	652	425
121	653	417
122	655	410
123	656	402
124	658	394
125	659	387
126	661	380
127	662	372
128	664	365
129	665	358
130	666	351
131	667	344
132	669	337
133	670	330
134	672	323
135	673	317
136	675	310
137	677	304
138	678	297
139	679	291
140	681	285
141	682	278
142	684	272
143	685	266
144	686	260
145	688	254
146	690	249
147	692	243
148	693	237
149	694	231
150	696	226
151	698	220
152	700	215
153	701	209
154	703	204
155	705	199
156	707	193
157	708	188
158	709	183
159	711	177
160	712	172
161	714	167
162	715	162
163	716	157
164	718	152
165	719	147
166	722	142
167	726	138
168	729	133
169	731	129
170	733	124
171	734	119
172	735	114
173	737	110
174	739	105
175	740	100
176	742	96
177	744	92
178	748	87
179	750	83
180	752	79
181	754	74
182	756	70
183	757	65
184	759	61
185	760	57
186	761	52
187	763	48
188	764	44
189	766	40
190	767	36
191	770	32
192	771	27
193	773	23
194	775	19
195	776	15
196	778	11
197	779	7
198	781	3
199	782	0
