date,vix
2020-10-07,20.847
2020-10-08,20.758
2020-10-09,21.352
2020-10-12,22.803
2020-10-13,22.292
2020-10-14,22.004
2020-10-15,23.526
2020-10-16,23.967
2020-10-19,22.976
2020-10-20,23.077
2020-10-21,22.228
2020-10-22,21.476
2020-10-23,21.422
2020-10-26,18.993
2020-10-27,17.132
2020-10-28,16.841
2020-10-29,16.187
2020-10-30,16.879
2020-11-02,16.194
2020-11-03,15.201
2020-11-04,17.47
2020-11-05,17.72
2020-11-06,18.213
2020-11-09,17.119
2020-11-10,17.117
2020-11-11,17.936
2020-11-12,17.335
2020-11-13,18.379
2020-11-16,18.058
2020-11-17,18.115
2020-11-18,17.882
2020-11-19,20.426
2020-11-20,20.334
2020-11-23,18.913
2020-11-24,19.786
2020-11-25,18.416
2020-11-26,18.759
2020-11-27,16.755
2020-11-30,15.645
2020-12-01,16.258
2020-12-02,17.513
2020-12-03,18.129
2020-12-04,18.299
2020-12-07,18.195
2020-12-08,16.858
2020-12-09,16.743
2020-12-10,17.01
2020-12-11,18.976
2020-12-14,19.686
2020-12-15,17.727
2020-12-16,18.706
2020-12-17,18.62
2020-12-18,18.017
2020-12-21,18.963
2020-12-22,20.22
2020-12-23,21.232
2020-12-24,19.995
2020-12-25,19.453
2020-12-28,19.604
2020-12-29,20.542
2020-12-30,19.8
2020-12-31,19.617
2021-01-01,18.408
2021-01-04,17.269
2021-01-05,18.58
2021-01-06,20.303
2021-01-07,20.48
2021-01-08,21.728
2021-01-11,22.009
2021-01-12,21.145
2021-01-13,21.651
2021-01-14,23.416
2021-01-15,22.992
2021-01-18,24.294
2021-01-19,20.47
2021-01-20,21.355
2021-01-21,21.227
2021-01-22,20.508
2021-01-25,20.254
2021-01-26,17.48
2021-01-27,17.452
2021-01-28,18.22
2021-01-29,20.16
2021-02-01,19.419
2021-02-02,18.549
2021-02-03,18.348
2021-02-04,19.875
2021-02-05,20.486
2021-02-08,19.95
2021-02-09,20.711
2021-02-10,21.01
2021-02-11,22.304
2021-02-12,21.365
2021-02-15,20.821
2021-02-16,20.244
2021-02-17,18.561
2021-02-18,19.144
2021-02-19,19.449
